Desplazamiento_X,Desplazamiento_Y,Estatus
532,592,1
512,592,1
493,592,0
473,592,0
453,592,0
433,592,0
414,592,0
394,592,0
374,592,0
354,592,0
335,592,0
315,592,0
295,592,0
276,592,0
256,592,0
236,592,0
216,592,0
197,592,1
177,592,1
157,592,1
137,592,1
118,592,1
98,592,1
78,592,1
58,592,1
39,592,1
19,592,1
1,592,1
20,592,1
40,592,1
50,592,1
650,380,1
638,380,1
625,380,1
613,380,1
600,380,1
587,380,1
575,380,1
562,380,0
549,380,0
537,380,0
524,380,0
511,380,0
499,380,0
486,380,0
473,380,0
461,380,0
448,380,0
435,380,0
423,380,0
410,380,0
397,380,0
385,380,0
372,380,0
359,380,0
347,380,0
334,380,0
321,380,0
309,380,0
296,380,0
283,380,0
271,380,0
258,380,0
245,380,0
233,380,0
220,380,0
207,380,0
195,380,0
182,380,0
169,380,0
157,380,0
144,380,0
131,380,0
119,380,1
106,380,1
93,380,1
81,380,1
68,380,1
55,380,1
43,380,1
30,380,1
17,380,1
5,380,1
8,380,1
21,380,1
33,380,1
46,380,1
50,380,1
650,392,1
637,392,1
624,392,1
611,392,1
598,392,1
585,392,1
572,392,0
559,392,0
546,392,0
533,392,0
520,392,0
507,392,0
494,392,0
481,392,0
468,392,0
454,392,0
441,392,0
428,392,0
415,392,0
